row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
31,1907,421561.5,3814579.5,2022,145.0,175.0,228.0,238.0,250.0,273.0,314.0,1.0,1.0
52,1931,421633.5,3814516.5,2022,138.0,178.0,226.0,237.0,248.0,271.0,305.0,1.0,1.0
37,1973,421759.5,3814561.5,2022,110.0,175.0,227.0,238.0,252.0,276.0,308.0,1.0,1.0
36,2001,421843.5,3814564.5,2022,125.0,179.0,226.0,237.0,249.0,273.0,305.0,1.0,1.0
46,2038,421954.5,3814534.5,2022,130.0,176.0,227.0,237.0,249.0,273.0,308.0,1.0,2.0
47,2048,421984.5,3814531.5,2022,149.0,180.0,227.0,237.0,249.0,272.0,307.0,1.0,1.0
32,2076,422068.5,3814576.5,2022,151.0,181.0,229.0,240.0,253.0,277.0,309.0,1.0,1.0
30,2122,422206.5,3814582.5,2022,158.0,187.0,228.0,238.0,251.0,275.0,307.0,1.0,1.0
33,2132,422236.5,3814573.5,2022,164.0,207.0,229.0,239.0,252.0,276.0,305.0,1.0,1.0
56,2182,422386.5,3814504.5,2022,154.0,203.0,226.0,235.0,246.0,273.0,314.0,1.0,1.0
59,2211,422473.5,3814495.5,2022,153.0,194.0,226.0,235.0,247.0,273.0,308.0,1.0,1.0
54,2226,422518.5,3814510.5,2022,152.0,192.0,226.0,236.0,248.0,273.0,309.0,1.0,1.0
51,2265,422635.5,3814519.5,2022,151.0,198.0,225.0,236.0,249.0,273.0,303.0,1.0,1.0
40,2291,422713.5,3814552.5,2022,160.0,185.0,224.0,235.0,246.0,272.0,305.0,1.0,1.0
59,2319,422797.5,3814495.5,2022,145.0,179.0,224.0,236.0,249.0,275.0,310.0,1.0,1.0
41,2354,422902.5,3814549.5,2022,150.0,177.0,218.0,232.0,247.0,276.0,310.0,1.0,1.0
36,2374,422962.5,3814564.5,2022,153.0,177.0,220.0,233.0,246.0,276.0,322.0,1.0,2.0
32,2403,423049.5,3814576.5,2022,159.0,180.0,215.0,229.0,242.0,271.0,312.0,1.0,1.0
43,2433,423139.5,3814543.5,2022,158.0,183.0,219.0,232.0,245.0,276.0,310.0,1.0,1.0
58,2482,423286.5,3814498.5,2022,150.0,177.0,217.0,230.0,244.0,276.0,312.0,1.0,1.0
31,2509,423367.5,3814579.5,2022,155.0,181.0,216.0,229.0,243.0,272.0,307.0,1.0,1.0
38,2549,423487.5,3814558.5,2022,121.0,175.0,215.0,230.0,246.0,275.0,310.0,1.0,1.0
32,2572,423556.5,3814576.5,2022,140.0,179.0,218.0,233.0,248.0,276.0,324.0,1.0,1.0
37,2585,423595.5,3814561.5,2022,147.0,177.0,216.0,232.0,247.0,276.0,322.0,1.0,1.0
43,2631,423733.5,3814543.5,2022,149.0,178.0,216.0,230.0,246.0,276.0,314.0,1.0,1.0
40,2653,423799.5,3814552.5,2022,147.0,182.0,221.0,233.0,245.0,275.0,304.0,1.0,1.0
31,2670,423850.5,3814579.5,2022,154.0,185.0,220.0,233.0,246.0,272.0,304.0,1.0,1.0
33,2714,423982.5,3814573.5,2022,134.0,177.0,216.0,230.0,245.0,274.0,308.0,1.0,1.0
38,2751,424093.5,3814558.5,2022,152.0,180.0,220.0,232.0,245.0,273.0,304.0,1.0,1.0
43,2788,424204.5,3814543.5,2022,155.0,178.0,221.0,233.0,246.0,275.0,311.0,1.0,1.0
44,2799,424237.5,3814540.5,2022,149.0,180.0,222.0,234.0,247.0,278.0,310.0,1.0,2.0
35,2830,424330.5,3814567.5,2022,152.0,183.0,224.0,235.0,250.0,280.0,323.0,1.0,1.0
37,2861,424423.5,3814561.5,2022,156.0,181.0,224.0,236.0,251.0,281.0,323.0,1.0,1.0
30,2881,424483.5,3814582.5,2022,152.0,179.0,222.0,236.0,255.0,281.0,313.0,1.0,1.0
75,26,415918.5,3814447.5,2022,144.0,177.0,229.0,239.0,250.0,270.0,303.0,1.0,1.0
62,49,415987.5,3814486.5,2022,144.0,182.0,229.0,239.0,250.0,269.0,306.0,1.0,1.0
80,83,416089.5,3814432.5,2022,146.0,183.0,229.0,239.0,250.0,270.0,306.0,1.0,1.0
66,90,416110.5,3814474.5,2022,151.0,210.0,229.0,239.0,249.0,269.0,306.0,1.0,1.0
84,147,416281.5,3814420.5,2022,147.0,180.0,229.0,239.0,251.0,272.0,312.0,1.0,1.0
80,167,416341.5,3814432.5,2022,149.0,181.0,230.0,240.0,251.0,273.0,309.0,1.0,1.0
72,180,416380.5,3814456.5,2022,143.0,186.0,230.0,240.0,251.0,273.0,310.0,1.0,1.0
80,232,416536.5,3814432.5,2022,152.0,184.0,231.0,240.0,251.0,271.0,307.0,1.0,1.0
74,249,416587.5,3814450.5,2022,145.0,186.0,230.0,240.0,251.0,272.0,308.0,1.0,1.0
63,288,416704.5,3814483.5,2022,147.0,211.0,229.0,238.0,249.0,269.0,300.0,1.0,1.0
