row,col,x,y,year,gmm_full_k3,gmm_full_k4,gmm_full_k5,gmm_full_k6,gmm_full_k7,gmm_full_k8,gmm_full_k9,gmm_full_k10,gmm_full_k11,gmm_full_k12,gmm_full_k13,gmm_full_k14,gmm_full_k15,gmm_full_k16,gmm_full_k17,gmm_full_k18,gmm_full_k19,gmm_full_k20,gmm_diag_k3,gmm_diag_k4,gmm_diag_k5,gmm_diag_k6,gmm_diag_k7,gmm_diag_k8,gmm_diag_k9,gmm_diag_k10,gmm_diag_k11,gmm_diag_k12,gmm_diag_k13,gmm_diag_k14,gmm_diag_k15,gmm_diag_k16,gmm_diag_k17,gmm_diag_k18,gmm_diag_k19,gmm_diag_k20
20,1518,420394.5,3814612.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,8,18,19,2,3,3,2,4,4,5,1,2,3,2,13,4,15,5,8,14,17
2,1533,420439.5,3814666.5,2022,2,0,3,0,2,3,6,8,0,4,6,12,0,8,1,8,18,19,2,2,3,2,4,4,8,1,6,3,2,13,3,15,5,8,14,17
14,1570,420550.5,3814630.5,2022,1,2,4,1,3,2,4,4,7,11,2,13,8,6,9,3,10,6,2,2,3,2,4,4,8,1,6,0,3,1,0,1,4,2,7,2
27,1618,420694.5,3814591.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,8,18,19,2,2,3,2,4,4,8,1,2,3,2,13,3,15,5,8,14,17
11,1630,420730.5,3814639.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,17,2,16,2,3,2,1,6,1,0,3,10,3,2,6,3,2,16,9,14,14
8,1671,420853.5,3814648.5,2022,1,2,4,1,0,2,4,4,10,11,1,4,1,14,2,3,13,2,2,2,3,2,4,4,8,1,6,0,3,1,0,1,4,2,7,4
3,1690,420910.5,3814663.5,2022,1,2,4,1,3,2,4,4,10,5,5,6,8,7,2,3,13,2,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
13,1727,421021.5,3814633.5,2022,1,2,4,2,3,1,3,2,10,11,2,4,1,9,9,1,10,11,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
13,1760,421120.5,3814633.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,1,0,1,4,2,7,2
17,1794,421222.5,3814621.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,8,18,19,2,2,3,2,4,4,8,1,6,0,2,13,4,15,5,8,14,17
5,1801,421243.5,3814657.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,8,1,8,18,19,2,2,3,2,4,4,8,1,2,0,2,13,4,15,5,8,14,17
3,1848,421384.5,3814663.5,2022,2,0,3,0,4,3,6,5,2,1,6,7,0,8,1,8,18,19,0,0,3,0,2,6,3,9,2,11,10,3,13,6,14,11,5,13
3,1887,421501.5,3814663.5,2022,2,0,3,0,4,5,7,5,8,6,11,8,4,8,6,8,18,14,0,0,0,0,3,0,7,0,8,2,5,3,5,3,2,14,18,11
20,1902,421546.5,3814612.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,10,1,14,1,14,0,3,2,5,0,7,3,3,2,10,9,6,4,14,16,13,2,12
16,1922,421606.5,3814624.5,2022,2,0,3,0,4,3,7,5,8,6,6,7,0,8,1,8,18,14,0,0,0,0,2,6,3,9,2,11,10,3,13,6,14,11,5,13
10,1959,421717.5,3814642.5,2022,2,0,3,0,4,5,7,5,8,6,11,8,4,13,6,2,5,14,0,0,0,0,3,0,1,4,8,5,12,3,1,14,13,13,2,11
13,1983,421789.5,3814633.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,8,1,8,18,19,2,3,1,5,0,7,5,3,2,10,9,6,4,14,5,8,14,12
29,2017,421891.5,3814585.5,2022,2,0,3,0,4,3,6,5,2,1,6,7,0,8,1,8,18,19,2,3,3,2,2,6,3,9,2,11,10,3,13,6,14,11,5,13
0,2062,422026.5,3814672.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,8,18,19,2,3,3,2,4,7,5,3,2,3,2,13,3,15,5,8,14,17
0,2085,422095.5,3814672.5,2022,0,3,2,5,1,7,8,6,3,2,2,13,9,6,9,4,16,6,2,3,1,5,0,7,5,8,0,9,7,12,12,12,3,12,8,19
15,2104,422152.5,3814627.5,2022,2,0,3,0,4,5,7,5,8,6,11,8,4,8,6,8,18,14,0,0,0,0,2,6,3,9,2,11,10,3,13,6,14,11,5,13
11,2138,422254.5,3814639.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,8,18,19,2,2,3,2,4,4,8,1,2,3,2,13,3,15,5,8,14,17
15,2167,422341.5,3814627.5,2022,2,0,3,0,2,3,6,8,0,4,7,12,6,8,16,17,18,16,1,1,2,1,6,1,0,2,10,4,8,13,3,2,9,4,11,14
23,2193,422419.5,3814603.5,2022,2,0,3,0,4,5,7,5,8,6,11,8,4,8,1,8,18,14,0,0,0,0,2,6,3,9,2,11,10,3,13,6,14,11,5,13
4,2226,422518.5,3814660.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,8,18,16,2,3,3,1,6,1,0,3,10,3,2,13,3,2,9,8,14,14
14,2271,422653.5,3814630.5,2022,2,0,3,0,2,3,6,8,0,4,7,12,6,4,16,17,2,16,1,3,2,1,6,1,0,2,10,4,8,4,3,2,9,9,14,14
18,2309,422767.5,3814618.5,2022,2,0,3,0,2,3,6,8,0,4,7,12,6,6,16,17,2,16,1,1,2,1,6,1,0,2,10,4,8,13,3,2,9,4,11,0
5,2329,422827.5,3814657.5,2022,2,0,1,5,2,3,6,8,0,4,7,12,6,4,16,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,3,2,9,4,12,9
10,2369,422947.5,3814642.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,3,4,3,17,2,16,1,1,4,3,6,1,0,2,10,4,8,4,2,4,0,6,12,9
20,2383,422989.5,3814612.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,6,4,16,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,2,4,0,6,12,9
19,2400,423040.5,3814615.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,3,4,15,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,3,2,9,4,12,9
0,2452,423196.5,3814672.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,3,4,3,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,2,4,0,6,12,9
7,2471,423253.5,3814651.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,3,4,3,17,2,7,1,1,2,1,6,1,0,2,10,4,8,4,2,4,0,6,12,9
12,2504,423352.5,3814636.5,2022,0,3,2,4,2,0,1,7,0,4,7,12,3,4,3,17,2,7,1,1,2,1,6,1,0,2,10,4,8,4,2,4,0,6,3,9
10,2544,423472.5,3814642.5,2022,2,0,3,0,2,3,6,8,0,4,7,12,6,6,16,17,2,16,1,1,2,1,6,1,0,2,10,7,1,4,8,2,16,9,3,3
7,2557,423511.5,3814651.5,2022,2,0,3,0,2,3,6,8,0,4,7,12,3,4,1,17,2,16,1,3,2,1,6,1,0,3,10,3,2,6,3,2,16,9,3,14
19,2609,423667.5,3814615.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,3,4,15,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,2,2,0,9,3,14
21,2614,423682.5,3814609.5,2022,0,0,1,5,2,6,2,8,0,4,7,12,6,4,16,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,3,2,9,4,11,0
23,2644,423772.5,3814603.5,2022,2,0,3,0,2,3,6,8,0,4,7,12,6,6,16,17,9,16,2,2,3,1,6,1,0,2,10,3,2,13,3,2,9,4,11,0
23,2684,423892.5,3814603.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,3,4,3,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,2,4,0,6,3,3
27,2719,423997.5,3814591.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,3,4,3,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,2,4,0,6,12,9
10,2730,424030.5,3814642.5,2022,0,0,1,5,2,6,2,7,0,4,7,12,3,4,3,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,3,2,0,9,12,14
9,2775,424165.5,3814645.5,2022,0,0,1,5,2,3,6,8,0,4,7,12,6,6,16,17,2,16,1,1,4,1,6,1,0,2,10,4,8,4,3,2,9,4,12,9
26,2813,424279.5,3814594.5,2022,0,0,3,5,2,3,6,8,0,4,7,12,6,6,16,17,2,16,1,1,2,1,6,1,0,2,10,4,8,4,2,4,0,6,12,9
9,2820,424300.5,3814645.5,2022,2,0,3,0,2,3,6,8,0,4,7,12,6,6,1,17,2,16,1,3,2,1,6,1,0,2,10,3,2,4,3,2,16,9,3,14
