row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
58,1161,419323.5,3814498.5,2022,0,3,4,3,3,4,3,7,10,10,6,9,7,3,9,11,4,1
45,1195,419425.5,3814537.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,5,2,13,19
43,1204,419452.5,3814543.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
37,1236,419548.5,3814561.5,2022,0,3,4,3,3,4,3,7,10,10,11,5,7,12,7,11,14,16
59,1276,419668.5,3814495.5,2022,1,2,2,0,0,1,4,3,9,1,12,0,4,10,16,5,1,11
44,1297,419731.5,3814540.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
31,1340,419860.5,3814579.5,2022,1,0,4,1,5,1,2,0,9,1,12,11,13,10,5,5,13,19
30,1360,419920.5,3814582.5,2022,0,3,4,3,3,4,3,7,10,2,11,7,10,12,0,4,15,14
58,1385,419995.5,3814498.5,2022,1,2,2,0,0,1,4,2,7,6,1,13,11,4,12,12,6,17
32,1432,420136.5,3814576.5,2022,0,0,4,1,5,2,2,0,1,5,11,7,10,12,7,11,14,16
49,1469,420247.5,3814525.5,2022,0,3,4,3,3,4,3,7,10,10,0,9,7,3,9,10,4,1
54,1485,420295.5,3814510.5,2022,0,3,4,1,5,5,2,0,1,5,9,7,10,1,0,8,2,2
32,1528,420424.5,3814576.5,2022,0,3,4,3,3,4,3,7,10,10,11,7,10,1,0,4,15,14
50,1537,420451.5,3814522.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
56,1570,420550.5,3814504.5,2022,0,3,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
53,1612,420676.5,3814513.5,2022,0,0,4,3,3,2,5,9,4,10,0,9,7,3,9,10,4,1
52,1626,420718.5,3814516.5,2022,0,3,4,3,3,4,3,7,10,10,6,9,7,3,9,10,4,1
36,1654,420802.5,3814564.5,2022,0,3,4,3,3,4,3,7,10,10,6,9,7,3,9,10,4,1
37,1709,420967.5,3814561.5,2022,0,0,4,3,3,2,5,9,4,10,11,9,7,12,7,11,14,16
34,1715,420985.5,3814570.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,10,4,1
54,1764,421132.5,3814510.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
41,1794,421222.5,3814549.5,2022,0,0,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
57,1817,421291.5,3814501.5,2022,0,0,4,1,5,1,2,0,1,5,9,7,10,1,0,8,2,2
40,1831,421333.5,3814552.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,1,0,8,2,2
50,1862,421426.5,3814522.5,2022,0,0,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
31,1907,421561.5,3814579.5,2022,1,0,1,1,5,1,2,0,1,5,9,13,11,1,0,8,6,17
52,1931,421633.5,3814516.5,2022,0,3,4,1,5,1,2,0,1,5,9,11,13,1,0,8,2,2
37,1973,421759.5,3814561.5,2022,1,2,2,0,0,1,4,2,7,6,8,6,8,8,6,3,11,0
36,2001,421843.5,3814564.5,2022,1,2,2,1,5,1,2,0,1,5,9,11,13,7,6,15,11,0
46,2038,421954.5,3814534.5,2022,1,2,2,1,5,1,2,0,1,5,9,11,13,7,6,15,11,0
47,2048,421984.5,3814531.5,2022,0,3,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
32,2076,422068.5,3814576.5,2022,0,0,1,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
30,2122,422206.5,3814582.5,2022,0,0,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
