row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
77,180,595771.5,3516484.5,2022,200.0,215.0,230.0,239.0,249.0,271.0,341.0,1.0,1.0
80,217,595882.5,3516475.5,2022,198.0,216.0,232.0,242.0,253.0,278.0,339.0,1.0,1.0
76,257,596002.5,3516487.5,2022,197.0,215.0,229.0,239.0,251.0,278.0,335.0,1.0,1.0
86,276,596059.5,3516457.5,2022,198.0,214.0,229.0,240.0,253.0,279.0,337.0,1.0,1.0
60,315,596176.5,3516535.5,2022,200.0,215.0,230.0,241.0,252.0,277.0,328.0,1.0,1.0
65,347,596272.5,3516520.5,2022,201.0,215.0,231.0,242.0,254.0,280.0,329.0,1.0,1.0
79,362,596317.5,3516478.5,2022,201.0,218.0,233.0,243.0,254.0,279.0,334.0,1.0,1.0
60,417,596482.5,3516535.5,2022,199.0,216.0,233.0,244.0,255.0,281.0,333.0,1.0,1.0
89,431,596524.5,3516448.5,2022,201.0,220.0,235.0,245.0,255.0,279.0,340.0,1.0,1.0
80,468,596635.5,3516475.5,2022,203.0,219.0,234.0,243.0,252.0,273.0,333.0,1.0,1.0
65,504,596743.5,3516520.5,2022,200.0,218.0,234.0,244.0,254.0,279.0,342.0,1.0,1.0
64,514,596773.5,3516523.5,2022,200.0,219.0,236.0,245.0,256.0,278.0,344.0,1.0,1.0
65,562,596917.5,3516520.5,2022,204.0,218.0,233.0,243.0,254.0,278.0,330.0,1.0,1.0
75,588,596995.5,3516490.5,2022,201.0,218.0,235.0,245.0,255.0,279.0,328.0,1.0,1.0
78,607,597052.5,3516481.5,2022,203.0,216.0,231.0,241.0,251.0,273.0,325.0,1.0,1.0
75,652,597187.5,3516490.5,2022,203.0,217.0,231.0,241.0,252.0,274.0,329.0,1.0,1.0
89,669,597238.5,3516448.5,2022,200.0,214.0,229.0,240.0,252.0,275.0,316.0,1.0,1.0
80,701,597334.5,3516475.5,2022,201.0,214.0,229.0,240.0,252.0,276.0,314.0,1.0,1.0
70,735,597436.5,3516505.5,2022,200.0,214.0,228.0,237.0,248.0,273.0,317.0,1.0,1.0
71,762,597517.5,3516502.5,2022,201.0,214.0,226.0,233.0,241.0,260.0,305.0,1.0,1.0
63,804,597643.5,3516526.5,2022,199.0,214.0,228.0,236.0,246.0,268.0,317.0,1.0,1.0
86,821,597694.5,3516457.5,2022,199.0,215.0,231.0,240.0,251.0,273.0,309.0,1.0,1.0
