row,col,x,y,year,gmm_full_k3,gmm_full_k4,gmm_full_k5,gmm_full_k6,gmm_full_k7,gmm_full_k8,gmm_full_k9,gmm_full_k10,gmm_full_k11,gmm_full_k12,gmm_full_k13,gmm_full_k14,gmm_full_k15,gmm_full_k16,gmm_full_k17,gmm_full_k18,gmm_full_k19,gmm_full_k20,gmm_diag_k3,gmm_diag_k4,gmm_diag_k5,gmm_diag_k6,gmm_diag_k7,gmm_diag_k8,gmm_diag_k9,gmm_diag_k10,gmm_diag_k11,gmm_diag_k12,gmm_diag_k13,gmm_diag_k14,gmm_diag_k15,gmm_diag_k16,gmm_diag_k17,gmm_diag_k18,gmm_diag_k19,gmm_diag_k20
18,1811,600664.5,3516661.5,2023,1,2,0,0,6,0,2,9,7,11,1,3,9,12,3,9,11,13,1,0,4,5,6,7,8,8,3,0,9,12,5,0,5,0,2,10
16,1833,600730.5,3516667.5,2023,1,2,1,0,6,0,5,4,5,6,12,11,10,3,16,3,3,3,0,0,4,5,1,4,0,5,0,8,4,13,9,14,0,14,17,16
8,1869,600838.5,3516691.5,2023,0,0,4,3,4,6,8,1,10,2,5,9,12,9,13,17,5,14,1,1,0,3,5,5,4,9,7,3,3,0,8,8,14,9,13,15
18,1898,600925.5,3516661.5,2023,1,0,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,6,7,8,8,3,0,9,12,5,0,5,0,2,18
11,1925,601006.5,3516682.5,2023,1,2,0,4,6,0,2,3,7,11,1,0,9,12,3,9,0,13,0,0,4,5,1,4,0,5,3,0,9,11,9,14,9,14,17,1
20,1951,601084.5,3516655.5,2023,1,0,0,4,4,6,2,3,7,11,1,0,9,12,3,9,0,13,1,0,4,5,6,7,8,8,5,6,0,0,2,13,5,11,15,9
13,1995,601216.5,3516676.5,2023,1,2,1,0,6,0,2,4,7,11,1,3,9,12,3,9,11,13,0,0,4,4,1,4,0,5,3,0,9,12,5,15,1,10,4,10
20,2026,601309.5,3516655.5,2023,1,2,1,0,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,15,1,10,2,10
8,2064,601423.5,3516691.5,2023,1,2,1,0,6,0,5,4,5,6,1,11,10,3,16,9,3,13,0,0,4,4,1,4,0,5,3,0,9,12,5,15,1,10,4,16
1,2081,601474.5,3516712.5,2023,1,2,1,0,0,5,5,4,5,6,12,11,10,3,16,3,3,3,0,0,4,4,1,4,0,5,0,0,9,13,1,15,1,10,4,16
22,2117,601582.5,3516649.5,2023,1,2,1,0,6,0,5,4,5,11,1,3,9,12,3,9,11,13,0,0,4,5,1,4,0,5,3,0,9,12,5,15,1,10,2,10
13,2147,601672.5,3516676.5,2023,1,2,1,0,6,0,5,4,7,11,1,3,9,12,3,9,11,13,0,2,1,4,1,2,3,6,10,8,4,13,11,1,0,14,4,19
4,2184,601783.5,3516703.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,0,0,4,5,1,4,0,5,10,9,12,5,4,11,16,14,9,1
15,2218,601885.5,3516670.5,2023,1,2,0,2,6,0,2,3,7,11,1,3,9,12,3,9,11,13,0,0,4,5,0,6,1,3,10,4,12,5,9,14,9,14,17,1
27,2232,601927.5,3516634.5,2023,1,0,0,2,1,4,6,3,4,7,3,0,14,10,0,5,0,0,0,2,3,0,0,6,7,7,6,4,5,1,9,6,7,7,0,14
20,2252,601987.5,3516655.5,2023,1,0,0,4,6,0,2,3,7,11,1,3,9,12,3,5,11,7,0,0,4,5,0,6,7,7,8,9,12,5,4,11,9,14,17,1
25,2296,602119.5,3516640.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,14,5,0,2,10
20,2324,602203.5,3516655.5,2023,1,0,0,4,4,4,2,3,7,11,1,0,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
15,2346,602269.5,3516670.5,2023,0,0,0,4,4,4,2,3,7,11,3,0,14,12,0,5,0,0,1,0,4,5,6,6,7,7,8,4,7,11,9,14,5,0,16,4
14,2384,602383.5,3516673.5,2023,0,0,0,4,1,4,2,3,7,7,3,0,14,4,0,8,0,12,0,0,4,5,0,6,7,7,8,4,7,11,9,14,9,14,17,4
21,2418,602485.5,3516652.5,2023,1,0,0,4,4,4,2,3,7,11,1,0,14,12,3,8,0,12,0,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
10,2450,602581.5,3516685.5,2023,1,0,0,4,4,0,2,3,7,11,1,3,9,12,3,9,0,13,1,0,4,5,6,7,7,7,3,0,9,11,9,14,5,0,2,10
22,2464,602623.5,3516649.5,2023,0,0,0,4,4,4,6,3,4,7,3,0,14,4,0,5,0,7,0,0,4,5,6,6,7,7,8,4,7,11,9,14,9,13,14,4
6,2503,602740.5,3516697.5,2023,1,0,0,4,4,0,2,3,7,11,1,3,9,12,3,9,0,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
8,2536,602839.5,3516691.5,2023,1,2,1,0,6,0,5,4,5,11,1,3,9,3,3,9,11,13,0,0,4,4,1,4,0,5,0,8,4,13,1,15,1,10,4,16
6,2550,602881.5,3516697.5,2023,1,2,1,0,6,0,5,4,5,6,12,11,10,3,16,3,3,3,0,0,4,4,1,4,0,5,0,8,4,13,1,15,0,10,4,16
29,2591,603004.5,3516628.5,2023,1,2,1,0,6,0,5,4,5,6,1,11,10,3,16,3,11,13,0,0,4,4,1,4,0,5,0,8,4,13,1,15,1,10,4,16
16,2634,603133.5,3516667.5,2023,0,0,0,4,4,6,2,3,7,11,1,0,9,12,3,5,0,13,1,0,4,5,6,6,7,7,8,4,7,11,9,14,9,8,16,4
10,2641,603154.5,3516685.5,2023,0,0,0,4,4,4,2,3,7,11,3,0,14,12,0,5,0,12,1,0,4,5,6,7,8,8,3,6,7,11,9,0,5,0,2,18
13,2675,603256.5,3516676.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,0,0,4,4,1,4,0,5,10,8,4,13,1,14,0,14,17,16
8,2727,603412.5,3516691.5,2023,0,0,0,4,4,4,2,3,7,7,3,0,14,4,0,8,0,12,0,0,4,5,0,6,7,7,8,4,7,11,9,14,7,14,17,4
17,2734,603433.5,3516664.5,2023,1,0,0,4,1,4,2,3,7,7,11,0,14,6,8,1,0,5,0,2,3,0,0,6,1,3,6,11,10,1,6,6,7,7,0,13
23,2768,603535.5,3516646.5,2023,1,2,0,2,1,0,0,3,9,1,11,10,11,6,8,1,13,5,0,2,3,0,0,1,1,3,6,4,10,1,6,6,7,7,0,13
4,2817,603682.5,3516703.5,2023,0,0,0,4,4,6,8,1,0,10,7,7,1,0,4,11,8,19,1,0,4,5,6,6,7,7,8,10,7,11,12,3,4,13,14,17
12,2833,603730.5,3516679.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,0,0,5,8,19,1,0,4,5,6,7,7,7,8,6,7,11,12,14,9,13,14,18
28,2867,603832.5,3516631.5,2023,0,0,0,4,4,4,2,3,7,7,3,0,14,4,0,5,10,7,1,0,4,5,6,6,7,7,8,9,7,11,12,14,9,13,14,18
13,2901,603934.5,3516676.5,2023,0,0,0,4,4,6,8,1,0,10,7,7,1,0,4,11,8,19,1,0,4,5,6,6,7,7,8,10,7,11,12,3,9,13,14,18
23,2938,604045.5,3516646.5,2023,0,0,2,4,4,4,6,5,4,7,3,0,7,4,0,4,0,12,1,1,0,3,6,7,8,8,5,6,0,0,2,13,10,11,15,9
6,2958,604105.5,3516697.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,6,7,7,8,10,7,11,12,3,4,8,16,4
18,2979,604168.5,3516661.5,2023,0,0,2,5,4,6,8,1,0,10,7,7,1,0,4,11,10,19,1,1,0,5,6,7,4,0,5,6,0,9,12,8,12,13,14,17
4,3017,604282.5,3516703.5,2023,1,2,1,0,0,5,5,4,5,6,12,11,10,3,16,3,3,3,0,0,4,5,1,4,0,5,3,0,9,12,5,0,1,0,2,10
