row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
56,1120,598591.5,3516547.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
47,1169,598738.5,3516574.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
39,1178,598765.5,3516598.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
47,1229,598918.5,3516574.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
44,1244,598963.5,3516583.5,2023,0,0,4,2,4,1,4,4,6,9,8,6,11,12,6,14,17,15
41,1264,599023.5,3516592.5,2023,0,0,0,1,4,1,4,4,4,9,8,6,11,12,6,14,17,15
42,1309,599158.5,3516589.5,2023,0,0,4,2,4,1,4,4,6,9,8,6,11,12,6,14,17,15
33,1332,599227.5,3516616.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
48,1375,599356.5,3516571.5,2023,0,0,0,1,6,1,4,4,4,9,8,6,11,12,6,14,17,15
39,1385,599386.5,3516598.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
37,1433,599530.5,3516604.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
31,1462,599617.5,3516622.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
43,1470,599641.5,3516586.5,2023,1,1,4,4,0,7,6,7,5,1,11,0,5,5,3,1,4,4
44,1519,599788.5,3516583.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
42,1544,599863.5,3516589.5,2023,0,0,4,2,0,4,6,7,6,1,11,0,5,5,3,1,4,3
34,1569,599938.5,3516613.5,2023,0,0,4,2,4,4,3,6,2,7,1,2,9,15,7,16,11,6
47,1606,600049.5,3516574.5,2023,1,1,4,4,0,7,6,7,6,1,4,8,10,13,0,12,13,4
36,1635,600136.5,3516607.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
56,1668,600235.5,3516547.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,16,8,6,12
53,1696,600319.5,3516556.5,2023,1,0,4,4,0,7,6,1,6,1,4,8,5,13,16,8,6,12
39,1710,600361.5,3516598.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
50,1752,600487.5,3516565.5,2023,1,1,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
44,1773,600550.5,3516583.5,2023,1,1,1,4,0,7,6,7,5,8,11,13,6,14,1,1,16,4
33,1805,600646.5,3516616.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
52,1844,600763.5,3516559.5,2023,0,0,4,2,4,4,3,6,2,7,1,2,9,15,7,16,11,6
50,1866,600829.5,3516565.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
