row,col,x,y,year,kmeans_label,gmm_label,gmm_posterior_0,gmm_posterior_1,gmm_posterior_2,gmm_posterior_3,gmm_posterior_4,gmm_posterior_5,gmm_posterior_6,gmm_posterior_7,gmm_posterior_8,gmm_posterior_9
449,1875,600856.5,3515368.5,2022,0,3,0.0022511984655536155,4.65764480643375e-05,7.05241556067435e-05,0.9063787773889109,5.5376093845927767e-05,0.08986508479658484,0.00011225379766612372,5.148998930045249e-05,1.2538358404427606e-05,0.001156180506062514
448,1902,600937.5,3515371.5,2022,9,3,0.017107711281374074,0.0034900324740963595,0.0002841142410016339,0.9494835377768247,0.000697992301577956,0.004303930039618554,0.013590094327595307,0.008699794936085479,9.822102257894823e-06,0.0023329705195673086
430,1948,601075.5,3515425.5,2022,7,5,0.3222107665165412,0.006369433681491824,2.7170150617451873e-06,0.2705685752085381,5.975279765128686e-08,0.3995031421956567,0.0009444292387491585,6.8685859162766765e-06,2.739331404225416e-07,0.0003937338721063424
443,1969,601138.5,3515386.5,2022,1,5,1.4453710397030655e-08,1.027703736051616e-08,0.00010744193924781971,0.0005077606468737248,0.000466006146581407,0.9708983133307046,2.5109528833613375e-10,1.814594285795034e-06,0.021653022260217585,0.006365616100245323
421,2007,601252.5,3515452.5,2022,0,3,0.00022527074452737185,0.009588369100364688,2.8426532202622614e-05,0.9678217546945371,3.117940132039153e-09,0.02092997982553918,1.0551028483358163e-05,0.0013942770008276415,8.118591805619748e-07,5.560963978380964e-07
433,2037,601342.5,3515416.5,2022,7,5,5.0214345131988885e-08,3.0366315796374268e-06,9.926347076108838e-05,0.026147144721872066,3.732673305776938e-07,0.9434884111099068,1.0587185497014825e-08,6.747373092738225e-07,0.01975877946170997,0.01050225579799977
437,2062,601417.5,3515404.5,2022,7,5,0.00018947403661996834,0.0003510902786473051,5.351262461067322e-06,0.46904905855120593,3.317364857425737e-12,0.5303755659369674,4.699469796649546e-06,7.38866457656673e-06,1.7370681296488363e-05,1.1151103893848346e-09
443,2072,601447.5,3515386.5,2022,7,5,7.569872599562343e-05,5.6472223194897274e-05,6.657366007568748e-06,0.10442758939002142,2.5245657358415734e-09,0.8952544430219715,4.468263158875964e-07,7.024424820253725e-07,0.00014005703657525475,3.7930442869546514e-05
435,2115,601576.5,3515410.5,2022,3,8,8.699110204535274e-27,1.1224201952851579e-18,9.032159456122087e-05,9.951590472504934e-19,2.1104881934912515e-07,0.0001308909302503121,1.3539132903658787e-17,3.821141778366239e-15,0.9997785764260597,3.0494095712148325e-13
432,2159,601708.5,3515419.5,2022,1,5,3.824317538562105e-13,2.7968613221513883e-10,0.00014414198727470397,5.2004815127785405e-06,2.944556724106601e-07,0.8605580032638918,6.852133362970597e-12,2.282962211940665e-09,0.12868130717359383,0.010611050068171018
428,2164,601723.5,3515431.5,2022,1,5,1.300590539295899e-06,4.116737977911389e-07,0.00012387021213289964,0.0002746561276205349,0.0038521744097394454,0.9693876569213183,6.263485355144673e-09,5.73223293930602e-06,0.023378303766489975,0.0029758878019378364
431,2193,601810.5,3515422.5,2022,1,8,2.0376164978421226e-16,4.140548664372007e-14,0.0012914395197500665,0.0020692565613669002,2.4962982494253e-07,0.0002201774380434821,7.435534924020344e-16,5.972635735458835e-08,0.9960929084848148,0.0003259086397993648
435,2225,601906.5,3515410.5,2022,1,8,2.2114533220769557e-17,1.3923343691081783e-13,0.0007521389494556871,4.882223358538701e-05,4.306542448316683e-07,0.1350321444857902,1.831831150581119e-16,2.1628542410366117e-09,0.8586746616171647,0.005491799896765734
437,2274,602053.5,3515404.5,2022,2,4,5.1441432592962744e-08,6.1917061284541535e-09,0.0003934179490216347,0.022821563508366637,0.7782187676621958,0.030728889357312633,3.827212503718563e-09,0.0047726508988539555,0.16306436527916374,2.83884733867245e-07
446,2287,602092.5,3515377.5,2022,0,3,0.00464847813168565,0.023001581014465852,0.00011291820809663563,0.8068283962631461,7.495795852493352e-06,0.14968937337017352,2.6828096356913655e-06,0.0027645576876024914,7.98661820709861e-05,0.012864650537271165
